id,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,last_review,calculated_host_listings_count,availability_365
45256235,144246094,Richard,51.50446,-0.21637,Entire home/apt,104.00 ,3,2021/8/25,27,47
45257071,186485306,Khalid,51.47189,-0.36593,Entire home/apt,35.00 ,2,2020/10/27,1,0
45257972,7701687,Arcore,51.51338,-0.12022,Entire home/apt,180.00 ,2,2021/3/18,35,0
45263575,33433857,Stayo,51.51365,-0.1278,Entire home/apt,224.00 ,1,2021/8/12,5,207
45263759,363308515,Sara,51.42516,-0.1649,Private room,81.00 ,1,2021/7/18,70,303
45263766,84487351,Richard,51.486,-0.20495,Entire home/apt,131.00 ,1,2021/7/31,1,179
45263872,363308515,Sara,51.42701,-0.16277,Private room,97.00 ,1,2021/8/28,70,348
45264007,17597562,Natalie,51.48994,-0.08335,Entire home/apt,150.00 ,2,2021/8/29,1,110
45264121,39225820,Stayo,51.50163,-0.10991,Entire home/apt,230.00 ,1,2021/8/18,9,197
45264133,363308515,Sara,51.42544,-0.16414,Private room,97.00 ,1,2021/8/25,70,336
45264225,363308515,Sara,51.42686,-0.1635,Private room,97.00 ,1,2021/5/30,70,333
45264373,363308515,Sara,51.42706,-0.16325,Private room,97.00 ,1,2020/10/7,70,322
45264425,363308515,Sara,51.42512,-0.1652,Private room,106.00 ,1,2021/8/7,70,336
45264433,66731159,Reservations,51.51441,-0.17533,Private room,99.00 ,1,2021/8/25,15,258
45264485,363308515,Sara,51.42515,-0.16522,Private room,81.00 ,1,2021/8/23,70,266
45264654,363308515,Sara,51.42552,-0.16267,Private room,97.00 ,1,2021/8/31,70,195
45264737,363308515,Sara,51.42597,-0.16336,Private room,97.00 ,1,2021/2/5,70,333
45264927,363308515,Sara,51.52147,-0.13591,Private room,126.00 ,1,2021/8/28,70,283
45265713,273559644,Rachel,51.53702,-0.11568,Private room,30.00 ,2,2021/7/21,5,0
45266154,333606,Tim,51.53754,-0.14036,Entire home/apt,110.00 ,90,2020/10/31,1,70
45266806,155205734,Monika,51.42578,-0.14293,Entire home/apt,230.00 ,5,2021/5/4,1,18
45267688,363308515,Sara,51.51954,-0.13572,Private room,126.00 ,1,2021/4/16,70,275
45267781,363308515,Sara,51.52136,-0.13684,Private room,126.00 ,1,2021/6/13,70,291
45267944,363308515,Sara,51.52125,-0.13542,Private room,126.00 ,1,2020/10/9,70,251
45268028,363308515,Sara,51.52124,-0.1362,Private room,123.00 ,1,2020/11/20,70,297
45268680,131591665,H,51.51678,-0.15649,Private room,95.00 ,1,2021/7/10,12,355
45268913,90204282,Jo,51.33784,0.10542,Entire home/apt,99.00 ,2,2021/8/24,1,152
45269174,93965166,Christiana,51.39262,-0.18784,Entire home/apt,80.00 ,1,2020/10/20,1,0
45271181,363308515,Sara,51.52141,-0.13678,Private room,126.00 ,1,2020/10/10,70,321
45271756,34830611,Emma,51.45482,-0.11003,Entire home/apt,85.00 ,2,2021/9/5,1,265
45272555,363308515,Sara,51.52014,-0.13778,Private room,126.00 ,1,2021/8/28,70,255
45272595,363308515,Sara,51.52086,-0.13627,Private room,126.00 ,1,2021/8/30,70,342
45272661,363308515,Sara,51.52058,-0.13754,Private room,126.00 ,1,2020/10/19,70,304
45272667,307939192,Joe,51.52552,-0.16059,Entire home/apt,77.00 ,7,2021/8/30,1,272
45272746,363308515,Sara,51.51916,-0.13576,Private room,126.00 ,1,2021/4/23,70,331
45272943,363308515,Sara,51.5187,-0.13569,Private room,126.00 ,1,2021/6/15,70,332
45273020,363308515,Sara,51.52019,-0.13591,Private room,126.00 ,1,2021/7/18,70,344
45273419,363308515,Sara,51.52455,-0.14527,Private room,62.00 ,1,2021/3/7,70,275
45273446,33213216,Kwaku,51.49648,-0.11283,Private room,40.00 ,2,2021/6/3,1,267
45273564,363308515,Sara,51.52466,-0.14489,Private room,62.00 ,1,2021/9/1,70,267
45274471,250653521,Joan,51.42944,-0.17445,Entire home/apt,141.00 ,2,2020/10/22,2,308
45275108,365847657,Emma,51.49548,-0.09617,Private room,55.00 ,21,2020/12/7,1,344
45281906,66731159,Reservations,51.51391,-0.1746,Private room,99.00 ,1,2021/8/23,15,239
45282267,54768121,Barbara,51.48583,0.07758,Private room,22.00 ,1,2021/7/26,5,0
45282498,136726056,Paula,51.53641,-0.17853,Entire home/apt,250.00 ,3,2021/8/10,1,160
45282606,61108210,Alireza,51.4646,-0.26544,Entire home/apt,85.00 ,4,2021/6/8,1,250
45284336,65336771,Svetoslav,51.52854,-0.14031,Private room,90.00 ,2,2021/8/3,2,315
45287650,224866971,Sonder (London),51.54777,-0.12917,Private room,146.00 ,2,2021/8/26,138,354
45287677,224866971,Sonder (London),51.54882,-0.12968,Private room,144.00 ,2,2021/8/24,138,353
45295691,68207206,Daria,51.4769,-0.11067,Private room,35.00 ,7,2020/10/7,3,47
45296778,8581542,Lesley,51.39289,-0.30921,Private room,37.00 ,2,2021/9/10,4,13
45296963,272662567,Alex,51.50182,-0.21369,Private room,70.00 ,3,2021/8/14,1,215
45297402,36528467,Julián,51.60189,-0.11832,Entire home/apt,53.00 ,20,2021/8/30,2,141
45298542,318418928,John,51.49816,-0.26715,Entire home/apt,97.00 ,2,2021/8/21,2,356
45299334,207920800,Itiny B,51.5166,0.08018,Private room,35.00 ,2,2021/3/5,2,316
45299864,92501365,Archit,51.50992,-0.02815,Entire home/apt,80.00 ,5,2021/2/21,2,0
45301273,363419382,Nicola,51.56337,-0.29835,Entire home/apt,95.00 ,3,2021/8/20,1,151
45301290,202352034,Amy,51.52131296,-0.161025491,Entire home/apt,82.00 ,2,2021/9/3,7,59
45302738,5692251,Natalia,51.4637,-0.18667,Entire home/apt,75.00 ,5,2021/8/26,1,0
45305169,136215292,Abike,51.52905,0.17175,Entire home/apt,150.00 ,1,2021/9/4,1,361
45306293,366189694,Sandra,51.50318,-0.26511,Private room,30.00 ,3,2021/9/10,1,315
45309163,258154594,Atanas,51.47166,-0.20455,Entire home/apt,1570.00 ,1,2020/12/28,190,162
45311989,366242312,Rich,51.48725,-0.28491,Private room,55.00 ,1,2021/8/26,2,66
45313288,315820253,Daniela,51.51623,-0.03647,Private room,38.00 ,2,2020/10/22,5,0
45313881,238980451,Rob,51.46624,-0.17782,Private room,43.00 ,2,2021/9/4,2,349
45314663,232908054,Wasim,51.54537,0.15577,Private room,24.00 ,4,2021/7/2,3,255
45321923,30253178,Regina,51.4908,-0.16266,Entire home/apt,186.00 ,3,2021/7/3,50,40
45322072,30253178,Regina,51.52047,-0.16037,Entire home/apt,186.00 ,3,2021/6/24,50,27
45322395,30253178,Regina,51.51929,-0.15618,Entire home/apt,190.00 ,3,2021/6/1,50,43
45322769,6947502,Kari,51.54168,-0.05728,Entire home/apt,180.00 ,4,2021/1/21,1,176
45323310,30253178,Regina,51.52432,-0.16143,Entire home/apt,196.00 ,3,2021/6/8,50,37
45323436,366346421,Subramaniam,51.51249,-0.06593,Entire home/apt,169.00 ,7,2020/11/3,9,304
45323437,129230780,STK Homes,51.5216,-0.14465,Entire home/apt,3200.00 ,1,2020/10/12,123,109
45323442,295656370,Mike,51.5031,-0.09152,Entire home/apt,190.00 ,2,2021/9/1,1,365
45323448,129230780,STK Homes,51.52374,-0.14404,Entire home/apt,3200.00 ,1,2021/1/31,123,109
45323483,364140858,SkyCity,51.49791,-0.08263,Entire home/apt,190.00 ,2,2020/10/18,5,346
45323512,30253178,Regina,51.51989,-0.16084,Entire home/apt,138.00 ,3,2021/8/24,50,34
